Municipios,Aji,Arveja a,Arveja b,Cebolla larga,cilantro a,cilantro b,Habichuela a,Habichuela b,Lechuga a,Lechuga b,Pepino a,Pepino b,Pimenton a,Pimenton b,Repollo a,Repollo b,Tomate a,Tomate b,Tomate invernadero a,Tomate invernadero b,Zanahoria A,Zanahoria B,Zapallo A,Zapallo B,Año
Cali,8,0,25,0,55,60,36,30,77,77,0,0,32,24,80,64,200,120,120,120,30,90,0,0,2017
Alcalá,0,0,0,0,0,0,571,380,0,0,0,0,98.7,98.7,0,0,1119.4,1823.4,0,0,0,0,0,0,2017
Andalucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Ansermanuevo,0,0,0,0,0,0,40.5,22.5,0,0,32,0,21,0,0,0,68,330,157.5,147,0,0,0,0,2017
Argelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,84,0,0,0,0,0,0,2017
Bolivar,448,36,36,0,0,0,100,140,0,0,224,192,1485,1482,0,0,644,560,0,0,0,0,750,750,2017
Buenaventura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Buga,0,6,8,30,16,34,45,45,15,11,0,0,80,56,0,0,495,1140,0,0,120,90,0,0,2017
Bugalagrande,0,0,0,0,88,104,171,189,0,0,225,225,100,100,0,0,528,396,0,0,0,0,0,0,2017
Caicedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,256,0,0,0,0,0,0,2017
CalimaDarien,0,18,24,0,0,0,376,304,0,0,87.5,100,272,272,0,0,800,800,0,0,0,0,280,280,2017
Candelaria,0,0,0,0,100,104,77,63,0,0,86.4,76.8,42,36,0,0,246.5,263.5,0,0,0,0,24,36,2017
Cartago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
Dagua,112,0,0,0,204.4,38.4,233.7,280,502.4,323,0,78,180,80.4,0,0,322,158,0,230,0,0,0,280,2017
El Aguila,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
El Cairo,0,0,7.5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
El Cerrito,0,0,0,6240,160,160,0,0,0,0,0,0,0,0,760,800,0,175,0,0,0,0,0,0,2017
El Dovio,0,0,0,0,0,0,378,352,0,0,1858,1908,882,923.4,1470,1530,2600,2600,0,0,0,0,432,351,2017
Florida,0,48,63,0,210,77,100,81,0,0,210,120,0,0,0,0,800,840,0,0,0,0,0,0,2017
Ginebra,0,12,10.8,0,0,0,20,40,0,0,90,180,3,12,0,0,7.5,50,0,0,0,0,0,0,2017
Guacarì,18,0,0,0,91,91,112,104,0,0,90,90,108,108,0,0,540,540,0,0,0,0,0,0,2017
Jamundì,0,0,0,0,2.3,8.3,18.8,31.5,0,0,0,0,0,0,0,0,30,10,0,0,0,0,120,72,2017
La Cumbre,73.5,0,0,0,28.8,28.8,308,338.8,340,340,350,150,0,0,161,161,1512,1587.6,0,0,0,0,0,516.3,2017
La Uniòn,275,0,0,0,1,1,0,0,0,0,0,0,82.5,82.5,0,0,90,150,0,0,0,0,0,0,2017
La Victoria,455,0,0,0,0,0,0,0,0,0,0,0,40,18,0,0,0,0,0,0,0,0,0,85,2017
Obando,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,125,0,0,0,0,0,0,2017
Palmira,0,2.6,11.9,3,1500,930,69.3,234.1,0,0,99,39.6,30.6,45.4,223.2,225,0,0,55.5,70.1,0,0,450,0,2017
Pradera,300,30,25,90,0,0,230,150,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,2017
Restrepo,1200,0,0,0,0,0,40,42,0,0,52.5,140,324,576,0,0,1700,630,0,0,0,0,585,780,2017
Riofrìo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,110,100,0,0,0,0,2017
Roldanillo,234,0,0,0,0,0,28,42,0,0,105,210,594,594,700,700,225,225,0,0,0,0,85,85,2017
San Pedro,72,0,0,0,127.5,127.5,144,160,0,0,120,375,150,150,52.5,128,450,875,0,0,0,0,0,0,2017
Sevilla,0,280,0,0,0,30,1000,0,0,0,0,0,0,0,0,0,0,0,225,280,0,0,0,0,2017
Toro,264,0,0,0,0,0,0,0,0,0,0,0,15,27,0,0,142.5,187.5,0,0,0,0,0,0,2017
Trujillo,59.4,0,0,0,0,0,81.3,47.3,0,0,70,0,66,110.3,0,0,75,103.5,190,133,0,0,0,0,2017
Tuluà,0,162,40,80,52,48,150,189,10.5,17.5,24,28,20,40.3,56,112,480,630,0,0,810,825,80,150,2017
